Date,AAPL_PX_LAST,SPX_PX_LAST
8/28/2013,65.3951,1634.96
8/29/2013,65.5022,1638.17
8/30/2013,64.9049,1632.97
9/3/2013,65.0866,1639.77
9/4/2013,66.4336,1653.08
9/5/2013,65.9778,1655.08
9/6/2013,66.3708,1655.17
9/9/2013,67.4299,1671.71
9/10/2013,65.8939,1683.99
9/11/2013,62.3064,1689.13
9/12/2013,62.9698,1683.42
9/13/2013,61.9321,1687.99
9/16/2013,59.9631,1697.6
9/17/2013,60.6559,1704.76
9/18/2013,61.9028,1725.52
9/19/2013,62.9179,1722.34
9/20/2013,62.2664,1709.91
9/23/2013,65.361,1701.84
9/24/2013,65.1559,1697.42
9/25/2013,64.1474,1692.77
9/26/2013,64.7722,1698.67
9/27/2013,64.31,1691.75
9/30/2013,63.5107,1681.55
10/1/2013,65.004,1695
10/2/2013,65.2172,1693.87
10/3/2013,64.3979,1678.66
10/4/2013,64.3473,1690.5
10/7/2013,64.976,1676.12
10/8/2013,64.0688,1655.45
10/9/2013,64.8212,1656.4
10/10/2013,65.2276,1692.56
10/11/2013,65.6504,1703.2
10/14/2013,66.0804,1710.14
10/15/2013,66.4321,1698.06
10/16/2013,66.7563,1721.54
10/17/2013,67.2074,1733.15
10/18/2013,67.7922,1744.5
10/21/2013,69.4537,1744.66
10/22/2013,69.2546,1754.67
10/23/2013,69.933,1746.38
10/24/2013,70.8589,1752.07
10/25/2013,70.066,1759.77
10/28/2013,70.5879,1762.11
10/29/2013,68.8297,1771.95
10/30/2013,69.9245,1763.31
10/31/2013,69.6322,1756.54
11/1/2013,69.2762,1761.64
11/4/2013,70.1715,1767.93
11/5/2013,69.9981,1762.97
11/6/2013,69.8,1770.49
11/7/2013,68.6707,1747.15
11/8/2013,69.7517,1770.61
11/11/2013,69.5491,1771.89
11/12/2013,69.678,1767.69
11/13/2013,69.7616,1782
11/14/2013,70.7701,1790.62
11/15/2013,70.3455,1798.18
11/18/2013,69.493,1791.53
11/19/2013,69.6164,1787.87
11/20/2013,69.0067,1781.37
11/21/2013,69.8289,1795.85
11/22/2013,69.6499,1804.76
11/25/2013,70.1778,1802.48
11/26/2013,71.4722,1802.75
11/27/2013,73.1552,1807.23
11/29/2013,74.5098,1805.81
12/2/2013,73.8613,1800.9
12/3/2013,75.8835,1795.15
12/4/2013,75.7064,1792.81
12/5/2013,76.0951,1785.03
12/6/2013,75.0391,1805.09
12/9/2013,75.898,1808.37
12/10/2013,75.7801,1802.62
12/11/2013,75.2187,1782.22
12/12/2013,75.1088,1775.5
12/13/2013,74.2901,1775.32
12/16/2013,74.7015,1786.54
12/17/2013,74.3651,1781
12/18/2013,73.7997,1810.65
12/19/2013,72.9542,1809.6
12/20/2013,73.5652,1818.32
12/23/2013,76.3884,1827.99
12/24/2013,76.0642,1833.32
12/26/2013,75.559,1842.02
12/27/2013,75.0485,1841.4
12/30/2013,74.3022,1841.07
12/31/2013,75.1731,1848.36
1/2/2014,74.1159,1831.98
1/3/2014,72.4879,1831.37
1/6/2014,72.8832,1826.77
1/7/2014,72.3616,1837.88
1/8/2014,72.8202,1837.49
1/9/2014,71.8901,1838.13
1/10/2014,71.4106,1842.37
1/13/2014,71.7844,1819.2
1/14/2014,73.2128,1838.88
1/15/2014,74.6827,1848.38
1/16/2014,74.266,1845.89
1/17/2014,72.4463,1838.7
1/21/2014,73.5719,1843.8
1/22/2014,73.8988,1844.86
1/23/2014,74.5246,1828.46
1/24/2014,73.1699,1790.29
1/27/2014,73.7635,1781.56
1/28/2014,67.8678,1792.5
1/29/2014,67.0973,1774.2
1/30/2014,66.9676,1794.19
1/31/2014,67.0772,1782.59
2/3/2014,67.2018,1741.89
2/4/2014,68.1746,1755.2
2/5/2014,68.6838,1751.64
2/6/2014,69.0841,1773.43
2/7/2014,70.0506,1797.02
2/10/2014,71.3056,1799.84
2/11/2014,72.2451,1819.75
2/12/2014,72.2397,1819.26
2/13/2014,73.3868,1829.83
2/14/2014,73.3275,1838.63
2/18/2014,73.5971,1840.76
2/19/2014,72.4352,1828.75
2/20/2014,71.5967,1839.78
2/21/2014,70.8014,1836.25
2/24/2014,71.1115,1847.61
2/25/2014,70.3714,1845.12
2/26/2014,69.7366,1845.16
2/27/2014,71.1276,1854.29
2/28/2014,70.9349,1859.45
3/3/2014,71.1398,1845.73
3/4/2014,71.6089,1873.91
3/5/2014,71.7598,1873.81
3/6/2014,71.5428,1877.03
3/7/2014,71.501,1878.04
3/10/2014,71.5657,1877.17
3/11/2014,72.2626,1867.63
3/12/2014,72.3327,1868.2
3/13/2014,71.5293,1846.34
3/14/2014,70.726,1841.13
3/17/2014,71.0023,1858.83
3/18/2014,71.6304,1872.25
3/19/2014,71.6116,1860.77
3/20/2014,71.2665,1872.01
3/21/2014,71.8286,1866.52
3/24/2014,72.6805,1857.44
3/25/2014,73.4623,1865.62
3/26/2014,72.76,1852.56
3/27/2014,72.4473,1849.04
3/28/2014,72.3664,1857.62
3/31/2014,72.3502,1872.34
4/1/2014,73.0121,1885.52
4/2/2014,73.1334,1890.9
4/3/2014,72.6266,1888.77
4/4/2014,71.687,1865.09
4/7/2014,70.5615,1845.04
4/8/2014,70.5575,1851.96
4/9/2014,71.4849,1872.18
4/10/2014,70.5629,1833.08
4/11/2014,70.0412,1815.69
4/14/2014,70.3202,1830.61
4/15/2014,69.8188,1842.98
4/16/2014,69.9603,1862.31
4/17/2014,70.7597,1864.85
4/21/2014,71.5994,1871.89
4/22/2014,71.6707,1879.55
4/23/2014,70.734,1875.39
4/24/2014,76.533,1878.61
4/25/2014,77.0951,1863.4
4/28/2014,80.0808,1869.43
4/29/2014,79.8435,1878.33
4/30/2014,79.5416,1883.95
5/1/2014,79.729,1883.68
5/2/2014,79.8772,1881.14
5/5/2014,81.0068,1884.66
5/6/2014,80.1239,1867.72
5/7/2014,79.8435,1878.21
5/8/2014,79.7012,1875.63
5/9/2014,79.3695,1878.48
5/12/2014,80.3573,1896.65
5/13/2014,80.4833,1897.45
5/14/2014,80.4982,1888.53
5/15/2014,79.8137,1870.85
